                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.35146,                0.53269,                0.85155,                0.99948,                      1,                  0.995,                  0.995,                 0.2056,                0.40366,                0.63654,               0.000614,               0.000614,               0.000614
                     38,                0.38573,                0.56714,                0.87663,                0.99948,                      1,                  0.995,                  0.995,                0.17034,                0.36854,                 0.6315,              0.0005744,              0.0005744,              0.0005744
                     39,                0.32225,                0.53554,                 0.8709,                0.99949,                      1,                  0.995,                  0.995,                0.14924,                0.35368,                0.62666,              0.0005348,              0.0005348,              0.0005348
                     40,                0.35205,                0.55613,                0.86784,                0.99949,                      1,                  0.995,                  0.995,                0.14823,                0.34726,                0.62405,              0.0004952,              0.0004952,              0.0004952
                     41,                0.22546,                0.51762,                0.77651,                0.99949,                      1,                  0.995,                  0.995,                0.17106,                0.35729,                 0.6252,              0.0004556,              0.0004556,              0.0004556
                     42,                0.21365,                0.48712,                0.79222,                 0.9995,                      1,                  0.995,                  0.995,                0.15527,                0.36182,                0.62456,               0.000416,               0.000416,               0.000416
                     43,                 0.1938,                 0.4799,                0.78967,                0.99949,                      1,                  0.995,                  0.995,                0.13406,                0.34111,                0.61946,              0.0003764,              0.0003764,              0.0003764
                     44,                0.19589,                0.47166,                0.76589,                 0.9995,                      1,                  0.995,                  0.995,                0.13264,                0.32624,                 0.6192,              0.0003368,              0.0003368,              0.0003368
                     45,                0.20962,                0.46995,                0.80017,                 0.9995,                      1,                  0.995,                  0.995,                0.14424,                0.31735,                0.61838,              0.0002972,              0.0002972,              0.0002972
                     46,                0.19861,                0.45799,                0.80596,                 0.9995,                      1,                  0.995,                  0.995,                0.12535,                0.30537,                0.61996,              0.0002576,              0.0002576,              0.0002576
                     47,                 0.1747,                0.43895,                0.78068,                 0.9995,                      1,                  0.995,                  0.995,                0.12732,                0.31226,                0.62133,               0.000218,               0.000218,               0.000218
                     48,                0.17332,                0.43169,                 0.7709,                 0.9995,                      1,                  0.995,                  0.995,                0.12759,                0.31486,                0.61898,              0.0001784,              0.0001784,              0.0001784
                     49,                0.16055,                0.42759,                0.79202,                 0.9995,                      1,                  0.995,                  0.995,                0.12535,                0.28839,                  0.617,              0.0001388,              0.0001388,              0.0001388
                     50,                0.15569,                0.41328,                0.78059,                 0.9995,                      1,                  0.995,                  0.995,                0.12569,                 0.3007,                0.61648,               9.92e-05,               9.92e-05,               9.92e-05
